IP,Host,Port,Subject_CN,Issuer_CN,SAN,Pubkey_Type,Pubkey_Bits,Sig_Algo,NotBefore,NotAfter,Validity_Days,Days_Remaining,Fingerprint,source
162.159.138.86,,443,kodiak.garmin.com,Cloudflare TLS Issuing ECC CA 1,*.kodiak.garmin.com;kodiak.garmin.com,ec,256,ecdsa-with-SHA256,2024-11-15T17:20:07,2025-11-15T00:22:34,364,-7,9f3a8c7c5c78ec65536901bf122059acec660490c4ca75ef0146db58964af3a7,nmap
163.70.158.174,,443,*.instagram.com,DigiCert SHA2 High Assurance Server CA,*.cdninstagram.com;*.igsonar.com;*.instagram.com;cdninstagram.com;igsonar.com;instagram.com,rsa,2048,sha256WithRSAEncryption,2025-08-16T00:00:00,2025-11-14T23:59:59,90,-7,283b187fec935107099a8da35422405e02fc5643bf3e8fdb53ccc57f9eefdc3a,nmap
163.70.158.35,,443,*.facebook.com,DigiCert Global G2 TLS RSA SHA256 2020 CA1,*.facebook.com;*.facebook.net;*.fbcdn.net;*.fbsbx.com;*.m.facebook.com;*.messenger.com;*.xx.fbcdn.net;*.xy.fbcdn.net;*.xz.fbcdn.net;facebook.com;messenger.com,ec,256,sha256WithRSAEncryption,2025-08-16T00:00:00,2025-11-14T23:59:59,90,-7,23d41f303427799ca152938856f4e8a9744da65ea1f3235a87a740eba8b7dac7,nmap
163.70.158.60,,443,*.whatsapp.net,DigiCert Global G2 TLS RSA SHA256 2020 CA1,*.cdn.whatsapp.net;*.snr.whatsapp.net;*.whatsapp.com;*.whatsapp.net;wa.me;whatsapp.com;whatsapp.net,ec,256,sha256WithRSAEncryption,2025-08-16T00:00:00,2025-11-14T23:59:59,90,-7,38a9ff6ac7d6093e5c7293b18e20bb65d7d5b104f6878ee7336d01fe327e152e,nmap
169.150.236.104,,443,*.b-cdn.net,Sectigo RSA Domain Validation Secure Server CA,*.b-cdn.net;b-cdn.net,rsa,2048,sha256WithRSAEncryption,2024-11-05T00:00:00,2025-11-11T23:59:59,371,-10,569eb94986bf155da7490e1684e6d2ee805d1bc836bc1e07e092756a868b0c81,nmap
18.208.237.48,,443,www.arubanetworks.com,DigiCert Global G2 TLS RSA SHA256 2020 CA1,arubanetworking.hpe.com;arubanetworks.com;media.arubanetworks.com;origin.arubanetworking.hpe.com;www-origin.arubanetworks.com;www.arubanetworks.com,rsa,2048,sha256WithRSAEncryption,2024-09-27T00:00:00,2025-09-26T23:59:59,364,-56,832e227cfc3880d42b4e9876a56d799fbbc513f5f58f3e91fc36c875a613255a,nmap
184.87.198.166,,443,*.datto.com,DigiCert TLS RSA SHA256 2020 CA1,*.datto.com;datto.com,rsa,2048,sha256WithRSAEncryption,2024-11-13T00:00:00,2025-11-13T23:59:59,365,-8,deb70c527ec5d4d252c8b1fa92793c16e1af890cb143611f38ec7ff8401bb0e5,nmap
185.163.159.5,,443,bi.zone,R10,bi.zone,rsa,2048,sha256WithRSAEncryption,2024-12-01T14:22:58,2025-03-01T14:22:57,89,-266,64bbcfad251caaf83e56e0464d0f53d476ad604bb4b199ab8eac65975696294f,nmap
185.170.8.248,,443,file.upmusics.com,R3,file.upmusics.com;www.file.upmusics.com,rsa,2048,sha256WithRSAEncryption,2024-03-01T08:17:15,2024-05-30T08:17:14,89,-541,635c2aa2751a27c8ea473d094a44e4b4ef60fcef78f3c018acf6fa95e5fb3733,nmap
185.188.104.10,,443,dummydomain.com,dummydomain.com,,rsa,2048,sha256WithRSAEncryption,2019-03-13T12:02:07,2020-03-12T12:02:07,365,-2081,93dd97adf8c9e45df24250b2d56d5572c8a5658ee0fd8ce3679f41c4d4792d54,nmap
