IP,Host,Port,Subject_CN,Issuer_CN,SAN,Pubkey_Type,Pubkey_Bits,Sig_Algo,NotBefore,NotAfter,Validity_Days,Days_Remaining,Fingerprint,source
166.117.189.176,,443,ws.airbnb.com,DigiCert Global G2 TLS RSA SHA256 2020 CA1,airbnb-ws.production.alicloud.china.product.origins.airbnb.net;airbnb-ws.production.alicloud.chinaci.integration.origins.airbnb.net;airbnb-ws.production.alicloud.chinadev.development.origins.airbnb.net;ws.airbnb.ae;ws.airbnb.al;ws.airbnb.am;ws.airbnb.at;ws.airbnb.az;ws.airbnb.ba;ws.airbnb.be;ws.airbnb.ca;ws.airbnb.cat;ws.airbnb.ch;ws.airbnb.cl;ws.airbnb.cn;ws.airbnb.co.cr;ws.airbnb.co.id;ws.airbnb.co.il;ws.airbnb.co.in;ws.airbnb.co.kr;ws.airbnb.co.nz;ws.airbnb.co.uk;ws.airbnb.co.ve;ws.airbnb.co.za;ws.airbnb.com;ws.airbnb.com.ar;ws.airbnb.com.au;ws.airbnb.com.bo;ws.airbnb.com.br;ws.airbnb.com.bz;ws.airbnb.com.co;ws.airbnb.com.ec;ws.airbnb.com.ee;ws.airbnb.com.gt;ws.airbnb.com.hk;ws.airbnb.com.hn;ws.airbnb.com.hr;ws.airbnb.com.kh;ws.airbnb.com.mt;ws.airbnb.com.my;ws.airbnb.com.ni;ws.airbnb.com.pa;ws.airbnb.com.pe;ws.airbnb.com.ph;ws.airbnb.com.py;ws.airbnb.com.ro;ws.airbnb.com.sg;ws.airbnb.com.sv;ws.airbnb.com.tr;ws.airbnb.com.tw;ws.airbnb.com.ua;ws.airbnb.com.vn;ws.airbnb.cz;ws.airbnb.de;ws.airbnb.dk;ws.airbnb.es;ws.airbnb.fi;ws.airbnb.fr;ws.airbnb.gr;ws.airbnb.gy;ws.airbnb.hu;ws.airbnb.ie;ws.airbnb.is;ws.airbnb.it;ws.airbnb.jp;ws.airbnb.la;ws.airbnb.lt;ws.airbnb.lu;ws.airbnb.lv;ws.airbnb.me;ws.airbnb.mx;ws.airbnb.nl;ws.airbnb.no;ws.airbnb.pl;ws.airbnb.pt;ws.airbnb.rs;ws.airbnb.se;ws.airbnb.si;ws.next.airbnb.com;ws.staging.airbnb.com,rsa,2048,sha256WithRSAEncryption,2025-08-15T00:00:00,2025-12-12T23:59:59,119,21,d0f860dafe26908d1e7ddce64db039a6a48f24aca96c4c1f9edfdb70aa5e37b4,nmap
17.253.142.4,,443,accounts.apple.com,Apple Public Server RSA CA 11 - G1,accounts.apple.com;apple-order.apple.com;apple-order1.apple.com;applejp1.apple.com;applemusic.apple.com;applepayments.apple.com;benefits.apple.com;channelpartners.apple.com;channelprograms.apple.com;clarisworks.apple.com;colorsync.apple.com;email.euro.apple.com;euro.apple.com;feedback.apple.com;fonts.apple.com;health.apple.com;macos.apple.com;macsoftware.apple.com;media.euro.apple.com;mr-apple-com1.apple.com;mypaybenefitsawards.apple.com;myrewards.apple.com;newaccountredirectdomain.apple.com;newsresources.apple.com;plugins.apple.com;podcasting.apple.com;powerbook.apple.com;promo.euro.apple.com;questforhealth.apple.com;rebate.apple.com;reviews.apple.com;servers.apple.com;shazam.apple.com;software.apple.com;solutionprofessionals.apple.com;spatialgallery.apple.com;speech.apple.com;store.euro.apple.com;surveys-temp.apple.com;uk.apple.com;wdb.apple.com;wdirect.apple.com;webobjects.apple.com;wwdc.apple.com;www.apple-order.apple.com;www.apple-order1.apple.com;www.applemusic.apple.com;www.applepayments.apple.com;www.channelpartners.apple.com;www.channelprograms.apple.com;www.clarisworks.apple.com;www.colorsync.apple.com;www.developer.apple.com;www.email.euro.apple.com;www.euro.apple.com;www.fonts.apple.com;www.macos.apple.com;www.macsoftware.apple.com;www.media.euro.apple.com;www.mr-apple-com1.apple.com;www.newsresources.apple.com;www.podcasting.apple.com;www.powerbook.apple.com;www.promo.euro.apple.com;www.rebate.apple.com;www.servers.apple.com;www.software.apple.com;www.solutionprofessionals.apple.com;www.speech.apple.com;www.wdb.apple.com;www.wdirect.apple.com,rsa,2048,sha256WithRSAEncryption,2025-08-29T22:51:03,2025-11-27T23:01:03,90,6,7afad132d4b526b3c6826af2b7b5f52a55bc9ea7f6d44a679093427ae10f630e,nmap
17.253.144.10,,443,images.apple.com,Apple Public EV Server ECC CA 1 - G1,images.apple.com,ec,256,ecdsa-with-SHA256,2025-09-29T15:17:36,2025-12-18T19:02:34,80,26,c211e5eaacc5d673613ef96897ae242ffb284435d3843618645b21968a7e77dc,nmap
172.66.136.209,,443,statcounter.com,Sectigo RSA Domain Validation Secure Server CA,*.statcounter.com;*.us-dallas.statcounter.com;*.us-tampa.statcounter.com;statcounter.com,rsa,2048,sha256WithRSAEncryption,2024-12-16T00:00:00,2025-12-16T23:59:59,365,25,8e6c99d2b036cf3a2c5925dcc8f5fefd5af38d51a28d56752814c8c57c6c3094,nmap
173.239.79.200,,443,anon-stats.eff.org,R13,anon-stats.eff.org,rsa,4096,sha256WithRSAEncryption,2025-09-01T18:33:59,2025-11-30T18:33:58,89,8,480b1e919c6ba2df4a7c662bfd20d82611805e83efcb01fd45f79b8fda7970fa,nmap
176.114.122.6,,443,www.avito.st,GlobalSign RSA OV SSL CA 2018,avito.st;www.avito.st,rsa,2048,sha256WithRSAEncryption,2024-11-14T12:40:43,2025-12-16T12:40:42,396,24,380bc50620f566eb5adcfabaac007860414fbfd626cefd72763e15e07d2a6194,nmap
178.248.233.148,,443,*.rutube.ru,GlobalSign GCC R6 AlphaSSL CA 2023,*.rutube.ru;rutube.ru,rsa,2048,sha256WithRSAEncryption,2024-10-25T12:17:45,2025-11-26T12:17:44,396,4,673bb30523963bb1af7450d18e0ce179f0fe08cc633bec307b31671c9b33bbdc,nmap
18.163.234.149,,443,*.okx.com,GeoTrust TLS RSA CA G1,*.okx.com;okx.com,rsa,2048,sha256WithRSAEncryption,2024-11-04T00:00:00,2025-12-02T23:59:59,393,11,2e7afd225edec3296e81857563ff38558009aeb9ad847954aaca6075bba4b526,nmap
185.106.84.100,,443,ccc.de,E8,ccc.de,ec,384,ecdsa-with-SHA384,2025-09-06T03:14:27,2025-12-05T03:14:26,89,13,b335748e8ac6bfc71ca7a8bde6558d6fe46732f3cda588da6de951a729cf89ce,nmap
185.207.236.1,,443,*.amp.xhamster.com,R12,*.amp.xhamster.com;*.m.xhamster.com;*.static.stage.xhamster.com;*.upload.stage.xhamster.com;*.xhamster.com;xhamster.com,rsa,2048,sha256WithRSAEncryption,2025-09-17T03:03:35,2025-12-16T03:03:34,89,24,eb0ca1f29553de847fb92cf2340b19cf0575c84aabdf8e2d3b33673422224aad,nmap
